Year,Population,"Aid ($ millions, constant, 2021-22 prices)","Aid ($, constant, 2021-22 prices)",Aid per capita ($ constant 2021-22),Year,Aid per capita ($ constant 2021-22),,
1961-62,10846059,989,989002035.3,91.2,1961-62,91,,
1962-63,11055482,1159,1158986760,104.8,1962-63,105,,
1963-64,11280429,1296,1295747198,114.9,1963-64,115,,
1964-65,11505408,1391,1390925983,120.9,1964-65,121,,
1965-66,11704843,1501,1501384871,128.3,1965-66,128,,
1966-67,11912253,1685,1684613561,141.4,1966-67,141,,
1967-68,12145582,1851,1850683304,152.4,1967-68,152,,
1968-69,12407217,1920,1919629278,154.7,1968-69,155,,
1969-70,12663469,2059,2059352674,162.6,1969-70,163,,
1970-71,13198380,2088,2088085088,158.2,1970-71,158,,
1971-72,13067270,2217,2217173571,169.7,1971-72,170,,
1972-73,13303660,2239,2239083845,168.3,1972-73,168,,
1973-74,13504540,2365,2365157159,175.1,1973-74,175,,
1974-75,13722570,2553,2552587650,186.0,1974-75,186,,
1975-76,13893000,2424,2424312193,174.5,1975-76,174,,
1976-77,14033080,2316,2315943852,165.0,1976-77,165,,
1977-78,14192230,2367,2366811193,166.8,1977-78,167,,
1978-79,14359260,2392,2392305824,166.6,1978-79,167,,
1979-80,14515730,2340,2340303922,161.2,1979-80,161,,
1980-81,14695360,2411,2410692461,164.0,1980-81,164,,
1981-82 ,14923260,2518,2517834348,168.7,1981-82 ,169,,
1982-83,15184250,2617,2616620418,172.3,1982-83,172,,
1983-84,15393470,3086,3085553895,200.4,1983-84,200,,
1984-85,15579390,3142,3141986581,201.7,1984-85,202,,
1985-86,15788310,2952,2951706820,187.0,1985-86,187,,
1986-87,16018350,2556,2556424061,159.6,1986-87,160,,
1987-88,16263870,2493,2492746467,153.3,1987-88,153,,
1988-89 ,16532160,2717,2716870872,164.3,1988-89 ,164,,
1989-90,16814420,2478,2477824547,147.4,1989-90,147,,
1990-91,17065130,2576,2576253916,151.0,1990-91,151,,
1991-92,17284040,2686,2685808195,155.4,1991-92,155,,
1992-93,17479000,2748,2748001070,157.2,1992-93,157,,
1993-94,17635000,2747,2747206046,155.8,1993-94,156,,
1994-95,17805000,2766,2766483841,155.4,1994-95,155,,
1995-96,18005000,2832,2832057649,157.3,1995-96,157,,
1996-97,18225000,2581,2580685917,141.6,1996-97,142,,
1997-98,18423000,2581,2581121980,140.1,1997-98,140,,
1998-99,18608000,2710,2710347552,145.7,1998-99,146,,
1999-2000,18812000,3009,3008803461,159.9,1999-2000,160,,
2000-01,19029000,2652,2651591826,139.3,2000-01,139,,
2001-02,19275000,2779,2778614170,144.2,2001-02,144,,
2002-03,19495000,2823,2822744517,144.8,2002-03,145,,
2003-04,19721000,2971,2970665513,150.6,2003-04,151,,
2004-05,19933000,3227,3226530911,161.9,2004-05,162,,
2005-06,20177000,3675,3675023031,182.1,2005-06,182,,
2006-07,20451000,3958,3957673552,193.5,2006-07,194,,
2007-08,20828000,4010,4009636224,192.5,2007-08,193,,
2008-09,21249000,4813,4812543552,226.5,2008-09,226,,
2009-10,21692000,4798,4797761668,221.2,2009-10,221,,
2010-11,22032000,5176,5175745056,234.9,2010-11,235,,
2011-12,22340000,5721,5720591881,256.1,2011-12,256,,
2012-13,22721995,5694,5694272179,250.6,2012-13,251,,
2013-14,23133658,5750,5749619119,248.5,2013-14,249,,
2014-15,23559362,5667,5666844864,240.5,2014-15,241,,
2015-16,24002458,4672,4672114001,194.7,2015-16,195,,
2016-17,24455145,4392,4391870082,179.6,2016-17,180,,
2017-18 ,24917746,4355,4354529794,174.8,2017-18,175,,
2018-19,25387067,4598,4597804746,181.1,2018-19,181,,
2019-20 ,25862832,4286,4286147866,165.7,2019-20,166,,
2020-21 (est),"26,344,667",4558,4558094750,173.0,2020-21 (est),173,,
2021-22 (est),26832153,4335,4335300000,161.6,2021-22 (est),162,,
2022-23 (est),27349900,4097,4096604401,149.8,2022-23 (est),150,,
2023-24 (est),27562195,4086,4085916632,148.2,2023-24 (est),148,,
2024-25 (est)," 27,776,138 ",4010,4009780417,144.4,2024-25 (est),144,,
